Comment ID,no.,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.82E+18,1,"The moment I saw Zena with Cate as her bestie, I knew she is not a good person! Coz show me your friends, I tell who you are!!

Cate is that woman who was fighting for kelvin’s body and house!🤮🤮vile! Kenyans google her. Lynn Ngugi did a story too. #RHONairobi","Interpersonal Conflict, Bullying, and Aggression (1)",Negative (1),The emotion expressed in this comment is anger and hostility. (1),Hostile / Condemning (1),1 (1),"RHONairobi cast members (Zena, Cate) (1)",3 (1),– (1),Perceived immoral associations and character judgment (1),1 (1),4 (1),Moral judgment of women through social associations (1),3 (1),3 (1),2 (1),1 (1),1 (1),Kenyan nationality / Kenyan public image (1),3 (1),1 (1),“not a good person… vile” (1),1 (1),1 (1),0 (1),– (1),0 (1),– (1),0 (1),– (1),1 [1],Shares allegations and encourages others to look up background information about Cate (1),0 (1),– (1),0 (1),– (1),0 (1),,,,,,,,,
1.81E+18,2,"Zena/Xenah, Minne, Vera, Rejah are the most disrespectful, ill-mannered, uncultured people on the entire Real Housewives Franchise. Here we are Kenyans getting pride for the progress we are making as a Nation  and these women's main contribution nikuaibisha Taifa #RHONairobi https://t.co/ngES9Bi3GA","Race, Culture, and National Representation (2)",Negative (2),The emotion expressed in this comment is anger and contempt. (2),Nationalistic / Condemning (2),1 (2),RHONairobi cast / national representation (2),3 (2),– (2),Disrespectful behavior and negative national representation (2),1 (2),4 (2),Women representing national image and respectability (2),3 (2),3 (2),1 (2),1 (2),1 (2),Kenyan nationality / national image (2),3 (2),1 (2),"“disrespectful, ill-mannered, uncultured” (2)",1 (2),1 (2),0 (2),– (2),1 (2),Reinforced belief that the cast behaves disrespectfully and embarrasses the nation (2),0 (2),– (2),1 [2],Shares a link and frames the cast as embarrassing the nation (2),0 (2),– (2),0 (2),– (2),0 (2),,,,,,,,,
1.79E+18,3,"Polygamy #RHONairobi

Do you guys think Lisa's comment about African men and polygamy is racist. I feel like Minne is big at trying to be victim. Her husband was not mentioned and she was so triggered. It giving insecurity to me. Also the need to defend Kenyan men and make...","Race, Culture, and National Representation (3)",Negative (3),The emotion expressed in this comment is anger and suspicion. (3),Critical / Questioning (3),1 (3),RHONairobi – polygamy discussion / Lisa comment (3),4 (3),– (3),"Perceived racism, victimhood framing, and insecurity (3)",1 (3),"6,8 (3)",Racialized masculinity and cultural stereotyping of African men (3),4 (3),4 (3),2 (3),0 (3),1 (3),African men / Kenyan men (3),4 (3),0 (3),– (3),2 (3),2 (3),0 (3),– (3),1 (3),Reinforced belief that polygamy and racialized narratives are sensitive and frequently mishandled on the show (3),0 (3),– (3),0 [3],– (3),0 (3),– (3),0 (3),– (3),0 (3),,,,,,,,,
1.91E+18,4,I know I’m a bit late to season 2 but it seems like some of these women in #rhonairobi don’t know they’ll get old too because the age shaming left right center…,"Gender Norms, Respectability, and Womanhood (4)",Negative (4),The emotion expressed in this comment is frustration and moral judgment. (4),Critical / Disapproving (4),1 (4),RHONairobi Season 2 (4),3 (4),– (4),Age shaming and lack of self-awareness among women (4),1 (4),– (4),Ageism against women and beauty standards (4),3 (4),3 (4),2 (4),1 (4),0 (4),– (4),– (4),0 (4),– (4),4 (4),1 (4),1 (4),Learned that age-shaming is a recurring behavior this season (4),0 (4),– (4),0 (4),– (4),0 [4],– (4),0 (4),– (4),0 (4),– (4),0 (4),,,,,,,,,
1.84E+18,5,"Minne called Sonal a high end escort on a reality show and thinks an apology will cut it😂😂😂Smh. Also, Dr C is giving bitch vibes🤮

#RHoNairobi","Gender Norms, Respectability, and Womanhood (5)",Negative (5),The emotion expressed in this comment is disgust and hostility. (5),Hostile / Insulting (5),1 (5),"RHONairobi cast conflict (Minne, Sonal, Dr C) (5)",3 (5),– (5),"Verbal abuse, slut-shaming, and lack of remorse (5)",1 (5),"4,5 (5)",Slut-shaming and sexual reputation policing (5),3 (5),3 (5),2 (5),1 (5),0 (5),– (5),– (5),1 (5),“high end escort… bitch vibes” (5),3 (5),3 (5),0 (5),– (5),1 (5),Reinforced belief that Minne engages in verbal attacks and lacks accountability (5),0 (5),– (5),0 [5],– (5),0 (5),– (5),0 (5),– (5),0 (5),,,,,,,,,
1.83E+18,6,Fareed always cuts Zena off and allows others to do the same. So her message is never completely put out there. #RHONairobi #RHONairobiReunion https://t.co/yLV5kpD3Ip,"Production, Casting, and Franchise Critique (6)",Negative (6),The emotion expressed in this comment is frustration and dissatisfaction. (6),Critical / Frustrated (6),1 (6),RHONairobi reunion / Fareed hosting (6),3 (6),– (6),Poor moderation and silencing of cast members (6),1 (6),– (6),Silencing women’s voices in public spaces (6),3 (6),3 (6),2 (6),1 (6),0 (6),– (6),– (6),0 (6),– (6),4 (6),4 (6),1 (6),Learned that Zena is frequently interrupted and not allowed to speak fully (6),1 (6),Reinforced belief that Zena is consistently silenced during group discussions (6),0 (6),– (6),1 [6],"Shares observation about Zena being interrupted, includes a link (6)",0 (6),– (6),0 (6),– (6),0 (6),,,,,,,,,
1.83E+18,7,Honestly the show made the franchise feel like an investigation. Real housewives is all about empowering women and celebrating successful woman not this kidnapping stories #RHONairobi,"Production, Casting, and Franchise Critique (7)",Negative (7),The emotion expressed in this comment is disappointment and disapproval. (7),Critical / Disappointed (7),1 (7),RHONairobi storyline direction (7),3 (7),– (7),Deviating from empowerment to crime-like storylines (7),1 (7),3 (7),Failure of women-empowerment narratives (7),3 (7),3 (7),1 (7),0 (7),0 (7),– (7),– (7),0 (7),– (7),4 (7),4 (7),0 (7),– (7),1 (7),Reinforced belief that the show has shifted away from women’s empowerment toward sensationalism (7),0 (7),– (7),0 [7],– (7),1 (7),Advocates for refocusing the franchise on women’s empowerment rather than crime-related drama (7),0 (7),– (7),0 (7),,,,,,,,,
1.83E+18,8,"Looks wise-

Minne - everything looked good 
Zena- although it's a predictable look,but it was well put together 
 Farah- nice idea,but someone was out of place 
Vera- looked uncomfortable but okay
Dr C - no comment, at least she's stuck to the theme

#RHONairobi","Gender Norms, Respectability, and Womanhood (8)",Neutral (8),The emotion expressed in this comment is neutrality and observation. (8),Evaluative / Descriptive (8),1 (8),RHONairobi fashion / reunion looks (8),2 (8),– (8),– (8),1 (8),– (8),Female appearance and fashion policing (8),2 (8),2 (8),3 (8),3 (8),0 (8),– (8),– (8),0 (8),– (8),10 (8),10 (8),0 (8),– (8),0 (8),– (8),0 (8),– (8),0 [8],– (8),0 (8),– (8),0 (8),– (8),0 (8),,,,,,,,,
1.83E+18,9,"Let's give it up for Kirinyash Women Rep Wakili Njeri Maina.
Top of the list.
Top of the range.
Top of them all.

PR aside.

#RHONairobi
#MasculinitySaturday
RUTOMUSTGO
QuickMart Njeri Maina Gacheri University of Nairobi Khaligraph Jones Irungu Nyakera SHIF Maasai Oparanya https://t.co/iFUrO4UlPT","Positive Identification, Praise, and Aspiration (9)",Positive (9),The emotion expressed in this comment is pride and admiration. (9),Celebratory / Praising (9),0 (9),– (9),– (9),– (9),– (9),1 (9),6 (9),Women’s leadership and public recognition (9),1 (9),1 (9),1 (9),0 (9),1 (9),Kenyan nationality / Kenyan women leaders (9),1 (9),0 (9),– (9),9 (9),9 (9),0 (9),– (9),0 (9),– (9),0 (9),– (9),1 [9],Shares names of public figures and includes a promotional link (9),0 (9),– (9),0 (9),– (9),0 (9),,,,,,,,,
1.83E+18,10,Ni ushoga tuu ndio ako nayo ..ata ni vizuri amezaa boys only coz angezaa girl child huyu angemkill ...he hates women sana,"Gender Norms, Respectability, and Womanhood (10)",Negative (10),The emotion expressed in this comment is anger and hostility. (10),Hostile / Derogatory (10),0 (10),– (10),– (10),– (10),"Hateful, violent misogynistic behavior (10)",1 (10),7 (10),Extreme misogyny and hatred toward women (10),3 (10),3 (10),1 (10),1 (10),0 (10),– (10),– (10),1 (10),“he hates women sana” (10),2 (10),2 (10),0 (10),– (10),1 (10),Reinforced belief that misogynistic and violent attitudes toward women persist (10),0 (10),– (10),0 [10],– (10),0 (10),– (10),0 (10),– (10),0 (10),,,,,,,,,
